permit,streetname,from_st,to_st
./out/15TOC-5384.csv,NORIEGA ST,28TH AVE,Intersection
./out/15TOC-5384.csv,ORTEGA ST,22ND AVE,Intersection
./out/15TOC-5384.csv,ORTEGA ST,23RD AVE,Intersection
./out/15TOC-5384.csv,ORTEGA ST,24TH AVE,Intersection
./out/15TOC-5384.csv,ORTEGA ST,25TH AVE,Intersection
./out/15TOC-5384.csv,ORTEGA ST,26TH AVE,Intersection
./out/15TOC-5384.csv,ORTEGA ST,27TH AVE,Intersection
./out/15TOC-5384.csv,ORTEGA ST,28TH AVE,Intersection
./out/15TOC-5384.csv,PACHECO ST,22ND AVE,Intersection
./out/15TOC-5384.csv,PACHECO ST,23RD AVE,Intersection
./out/15TOC-5384.csv,PACHECO ST,24TH AVE,Intersection
./out/15TOC-5384.csv,PACHECO ST,28TH AVE,Intersection
./out/15TOC-5384.csv,QUINTARA ST,22ND AVE,Intersection
./out/15TOC-5384.csv,QUINTARA ST,24TH AVE,Intersection
./out/15TOC-5384.csv,QUINTARA ST,23RD AVE,Intersection
./out/15TOC-5384.csv,QUINTARA ST,28TH AVE,Intersection
./out/15TOC-5384.csv,RIVERA ST,22ND AVE,Intersection
./out/15TOC-5384.csv,RIVERA ST,24TH AVE,Intersection
./out/15TOC-5384.csv,RIVERA ST,28TH AVE,Intersection
./out/15TOC-5384.csv,SANTIAGO ST,22ND AVE,Intersection
./out/15TOC-5384.csv,SANTIAGO ST,24TH AVE,Intersection
./out/15TOC-5384.csv,SANTIAGO ST,28TH AVE,Intersection
./out/15TOC-5485.csv,22ND AVE,LINCOLN WAY,IRVING ST
./out/15TOC-5485.csv,22ND AVE,IRVING ST,JUDAH ST
./out/15TOC-5485.csv,22ND AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-5485.csv,22ND AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-5485.csv,22ND AVE,LAWTON ST,MORAGA ST
./out/15TOC-5485.csv,22ND AVE,MORAGA ST,NORIEGA ST
./out/15TOC-5485.csv,22ND AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-5485.csv,22ND AVE,ORTEGA ST,PACHECO ST
./out/15TOC-5485.csv,22ND AVE,PACHECO ST,QUINTARA ST
./out/15TOC-5485.csv,22ND AVE,QUINTARA ST,RIVERA ST
./out/15TOC-5485.csv,22ND AVE,RIVERA ST,SANTIAGO ST
./out/15TOC-5485.csv,22ND AVE,SANTIAGO ST,TARAVAL ST
./out/15TOC-5485.csv,23RD AVE,LINCOLN WAY,IRVING ST
./out/15TOC-5485.csv,23RD AVE,IRVING ST,JUDAH ST
./out/15TOC-5485.csv,23RD AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-5485.csv,23RD AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-5485.csv,23RD AVE,LAWTON ST,MORAGA ST
./out/15TOC-5485.csv,23RD AVE,MORAGA ST,NORIEGA ST
./out/15TOC-5485.csv,23RD AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-5485.csv,23RD AVE,ORTEGA ST,PACHECO ST
./out/15TOC-5485.csv,23RD AVE,PACHECO ST,QUINTARA ST
./out/15TOC-5485.csv,IRVING ST,22ND AVE,Intersection
./out/15TOC-5485.csv,IRVING ST,23RD AVE,Intersection
./out/15TOC-5485.csv,JUDAH ST,22ND AVE,Intersection
./out/15TOC-5485.csv,JUDAH ST,23RD AVE,Intersection
./out/15TOC-5485.csv,KIRKHAM ST,22ND AVE,Intersection
./out/15TOC-5485.csv,KIRKHAM ST,23RD AVE,Intersection
./out/15TOC-5485.csv,LAWTON ST,22ND AVE,Intersection
./out/15TOC-5485.csv,LAWTON ST,23RD AVE,Intersection
./out/15TOC-5485.csv,MORAGA ST,22ND AVE,Intersection
./out/15TOC-5485.csv,MORAGA ST,23RD AVE,Intersection
./out/15TOC-5485.csv,NORIEGA ST,22ND AVE,Intersection
./out/15TOC-5485.csv,NORIEGA ST,23RD AVE,Intersection
./out/15TOC-5485.csv,ORTEGA ST,22ND AVE,Intersection
./out/15TOC-5485.csv,ORTEGA ST,23RD AVE,Intersection
./out/15TOC-5485.csv,PACHECO ST,22ND AVE,Intersection
./out/15TOC-5485.csv,PACHECO ST,23RD AVE,Intersection
./out/15TOC-5485.csv,QUINTARA ST,22ND AVE,Intersection
./out/15TOC-5485.csv,QUINTARA ST,23RD AVE,Intersection
./out/15TOC-5485.csv,RIVERA ST,22ND AVE,Intersection
./out/15TOC-5485.csv,SANTIAGO ST,22ND AVE,Intersection
./out/15TOC-5537.csv,24TH AVE,LINCOLN WAY,IRVING ST
./out/15TOC-5537.csv,24TH AVE,IRVING ST,JUDAH ST
./out/15TOC-5537.csv,24TH AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-5537.csv,24TH AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-5537.csv,24TH AVE,LAWTON ST,MORAGA ST
./out/15TOC-5537.csv,24TH AVE,MORAGA ST,NORIEGA ST
./out/15TOC-5537.csv,24TH AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-5537.csv,24TH AVE,ORTEGA ST,PACHECO ST
./out/15TOC-5537.csv,24TH AVE,PACHECO ST,QUINTARA ST
./out/15TOC-5537.csv,24TH AVE,QUINTARA ST,RIVERA ST
./out/15TOC-5537.csv,24TH AVE,RIVERA ST,SANTIAGO ST
./out/15TOC-5537.csv,24TH AVE,SANTIAGO ST,TARAVAL ST
./out/15TOC-5537.csv,25TH AVE,LINCOLN WAY,IRVING ST
./out/15TOC-5537.csv,25TH AVE,IRVING ST,JUDAH ST
./out/15TOC-5537.csv,25TH AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-5537.csv,25TH AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-5537.csv,25TH AVE,LAWTON ST,MORAGA ST
./out/15TOC-5537.csv,25TH AVE,MORAGA ST,NORIEGA ST
./out/15TOC-5537.csv,25TH AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-5537.csv,25TH AVE,QUINTARA ST,RIVERA ST
./out/15TOC-5537.csv,25TH AVE,RIVERA ST,SANTIAGO ST
./out/15TOC-5537.csv,25TH AVE,SANTIAGO ST,TARAVAL ST
./out/15TOC-5537.csv,IRVING ST,24TH AVE,Intersection
./out/15TOC-5537.csv,IRVING ST,25TH AVE,Intersection
./out/15TOC-5537.csv,JUDAH ST,24TH AVE,Intersection
./out/15TOC-5537.csv,JUDAH ST,25TH AVE,Intersection
./out/15TOC-5537.csv,KIRKHAM ST,24TH AVE,Intersection
./out/15TOC-5537.csv,KIRKHAM ST,25TH AVE,Intersection
./out/15TOC-5537.csv,LAWTON ST,24TH AVE,Intersection
./out/15TOC-5537.csv,LAWTON ST,25TH AVE,Intersection
./out/15TOC-5537.csv,MORAGA ST,24TH AVE,Intersection
./out/15TOC-5537.csv,MORAGA ST,25TH AVE,Intersection
./out/15TOC-5537.csv,NORIEGA ST,24TH AVE,Intersection
./out/15TOC-5537.csv,NORIEGA ST,25TH AVE,Intersection
./out/15TOC-5537.csv,ORTEGA ST,24TH AVE,Intersection
./out/15TOC-5537.csv,ORTEGA ST,25TH AVE,Intersection
./out/15TOC-5537.csv,PACHECO ST,24TH AVE,Intersection
./out/15TOC-5537.csv,QUINTARA ST,24TH AVE,Intersection
./out/15TOC-5537.csv,QUINTARA ST,25TH AVE,Intersection
./out/15TOC-5537.csv,RIVERA ST,24TH AVE,Intersection
./out/15TOC-5537.csv,RIVERA ST,25TH AVE,Intersection
./out/15TOC-5537.csv,SANTIAGO ST,24TH AVE,Intersection
./out/15TOC-5537.csv,SANTIAGO ST,25TH AVE,Intersection
./out/15TOC-5539.csv,09TH AVE,CLEMENT ST,GEARY BLVD
./out/15TOC-5539.csv,CLEMENT ST,09TH AVE,Intersection
./out/15TOC-5539.csv,GEARY BLVD,08TH AVE,09TH AVE
./out/15TOC-6159.csv,26TH AVE,IRVING ST,JUDAH ST
./out/15TOC-6159.csv,26TH AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-6159.csv,26TH AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-6159.csv,26TH AVE,LAWTON ST,MORAGA ST
./out/15TOC-6159.csv,26TH AVE,MORAGA ST,NORIEGA ST
./out/15TOC-6159.csv,26TH AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-6159.csv,26TH AVE,QUINTARA ST,RIVERA ST
./out/15TOC-6159.csv,26TH AVE,RIVERA ST,SANTIAGO ST
./out/15TOC-6159.csv,26TH AVE,SANTIAGO ST,TARAVAL ST
./out/15TOC-6159.csv,27TH AVE,LINCOLN WAY,IRVING ST
./out/15TOC-6159.csv,27TH AVE,IRVING ST,JUDAH ST
./out/15TOC-6159.csv,27TH AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-6159.csv,27TH AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-6159.csv,27TH AVE,LAWTON ST,MORAGA ST
./out/15TOC-6159.csv,27TH AVE,MORAGA ST,NORIEGA ST
./out/15TOC-6159.csv,27TH AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-6159.csv,27TH AVE,QUINTARA ST,RIVERA ST
./out/15TOC-6159.csv,27TH AVE,RIVERA ST,SANTIAGO ST
./out/15TOC-6159.csv,27TH AVE,SANTIAGO ST,TARAVAL ST
./out/15TOC-6159.csv,IRVING ST,27TH AVE,Intersection
./out/15TOC-6159.csv,JUDAH ST,26TH AVE,Intersection
./out/15TOC-6159.csv,JUDAH ST,27TH AVE,Intersection
./out/15TOC-6159.csv,KIRKHAM ST,26TH AVE,Intersection
./out/15TOC-6159.csv,KIRKHAM ST,27TH AVE,Intersection
./out/15TOC-6159.csv,LAWTON ST,26TH AVE,Intersection
./out/15TOC-6159.csv,LAWTON ST,27TH AVE,Intersection
./out/15TOC-6159.csv,MORAGA ST,26TH AVE,Intersection
./out/15TOC-6159.csv,MORAGA ST,27TH AVE,Intersection
./out/15TOC-6159.csv,NORIEGA ST,26TH AVE,Intersection
./out/15TOC-6159.csv,NORIEGA ST,27TH AVE,Intersection
./out/15TOC-6159.csv,ORTEGA ST,26TH AVE,Intersection
./out/15TOC-6159.csv,ORTEGA ST,27TH AVE,Intersection
./out/15TOC-6159.csv,QUINTARA ST,26TH AVE,Intersection
./out/15TOC-6159.csv,QUINTARA ST,27TH AVE,Intersection
./out/15TOC-6159.csv,RIVERA ST,26TH AVE,Intersection
./out/15TOC-6159.csv,RIVERA ST,27TH AVE,Intersection
./out/15TOC-6159.csv,SANTIAGO ST,26TH AVE,Intersection
./out/15TOC-6159.csv,SANTIAGO ST,27TH AVE,Intersection
./out/15TOC-6276.csv,09TH AVE,CLEMENT ST,GEARY BLVD
./out/15TOC-6577.csv,19TH AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-6577.csv,KIRKHAM ST,19TH AVE,Intersection
./out/15TOC-6578.csv,22ND AVE,IRVING ST,JUDAH ST
./out/15TOC-6578.csv,22ND AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-6578.csv,22ND AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-6578.csv,22ND AVE,LAWTON ST,MORAGA ST
./out/15TOC-6578.csv,22ND AVE,MORAGA ST,NORIEGA ST
./out/15TOC-6578.csv,22ND AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-6578.csv,22ND AVE,ORTEGA ST,PACHECO ST
./out/15TOC-6578.csv,22ND AVE,PACHECO ST,QUINTARA ST
./out/15TOC-6578.csv,22ND AVE,QUINTARA ST,RIVERA ST
./out/15TOC-6578.csv,22ND AVE,RIVERA ST,SANTIAGO ST
./out/15TOC-6578.csv,22ND AVE,SANTIAGO ST,TARAVAL ST
./out/15TOC-6578.csv,JUDAH ST,22ND AVE,Intersection
./out/15TOC-6578.csv,KIRKHAM ST,22ND AVE,Intersection
./out/15TOC-6578.csv,LAWTON ST,22ND AVE,Intersection
./out/15TOC-6578.csv,MORAGA ST,22ND AVE,Intersection
./out/15TOC-6578.csv,NORIEGA ST,22ND AVE,Intersection
./out/15TOC-6578.csv,ORTEGA ST,22ND AVE,Intersection
./out/15TOC-6578.csv,PACHECO ST,22ND AVE,Intersection
./out/15TOC-6578.csv,QUINTARA ST,22ND AVE,Intersection
./out/15TOC-6578.csv,RIVERA ST,22ND AVE,Intersection
./out/15TOC-6578.csv,SANTIAGO ST,22ND AVE,Intersection
./out/15TOC-6859.csv,23RD AVE,LINCOLN WAY,IRVING ST
./out/15TOC-6859.csv,23RD AVE,IRVING ST,JUDAH ST
./out/15TOC-6859.csv,23RD AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-6859.csv,23RD AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-6859.csv,23RD AVE,LAWTON ST,MORAGA ST
./out/15TOC-6859.csv,23RD AVE,MORAGA ST,NORIEGA ST
./out/15TOC-6859.csv,23RD AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-6859.csv,23RD AVE,ORTEGA ST,PACHECO ST
./out/15TOC-6859.csv,23RD AVE,PACHECO ST,QUINTARA ST
./out/15TOC-6859.csv,IRVING ST,23RD AVE,Intersection
./out/15TOC-6859.csv,JUDAH ST,23RD AVE,Intersection
./out/15TOC-6859.csv,KIRKHAM ST,23RD AVE,Intersection
./out/15TOC-6859.csv,LAWTON ST,23RD AVE,Intersection
./out/15TOC-6859.csv,MORAGA ST,23RD AVE,Intersection
./out/15TOC-6859.csv,NORIEGA ST,23RD AVE,Intersection
./out/15TOC-6859.csv,ORTEGA ST,23RD AVE,Intersection
./out/15TOC-6859.csv,PACHECO ST,23RD AVE,Intersection
./out/15TOC-6859.csv,QUINTARA ST,23RD AVE,Intersection
./out/15TOC-7210.csv,25TH AVE,LINCOLN WAY,IRVING ST
./out/15TOC-7210.csv,25TH AVE,IRVING ST,JUDAH ST
./out/15TOC-7210.csv,25TH AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-7210.csv,25TH AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-7210.csv,25TH AVE,LAWTON ST,MORAGA ST
./out/15TOC-7210.csv,25TH AVE,MORAGA ST,NORIEGA ST
./out/15TOC-7210.csv,25TH AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-7210.csv,25TH AVE,QUINTARA ST,RIVERA ST
./out/15TOC-7210.csv,25TH AVE,RIVERA ST,SANTIAGO ST
./out/15TOC-7210.csv,25TH AVE,SANTIAGO ST,TARAVAL ST
./out/15TOC-7210.csv,26TH AVE,LINCOLN WAY,IRVING ST
./out/15TOC-7210.csv,26TH AVE,IRVING ST,JUDAH ST
./out/15TOC-7210.csv,26TH AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-7210.csv,26TH AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-7210.csv,26TH AVE,LAWTON ST,MORAGA ST
./out/15TOC-7210.csv,26TH AVE,MORAGA ST,NORIEGA ST
./out/15TOC-7210.csv,26TH AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-7210.csv,26TH AVE,QUINTARA ST,RIVERA ST
./out/15TOC-7210.csv,26TH AVE,RIVERA ST,SANTIAGO ST
./out/15TOC-7210.csv,26TH AVE,SANTIAGO ST,TARAVAL ST
./out/15TOC-7210.csv,IRVING ST,25TH AVE,Intersection
./out/15TOC-7210.csv,IRVING ST,26TH AVE,Intersection
./out/15TOC-7210.csv,JUDAH ST,25TH AVE,Intersection
./out/15TOC-7210.csv,JUDAH ST,26TH AVE,Intersection
./out/15TOC-7210.csv,KIRKHAM ST,25TH AVE,Intersection
./out/15TOC-7210.csv,KIRKHAM ST,26TH AVE,Intersection
./out/15TOC-7210.csv,LAWTON ST,25TH AVE,Intersection
./out/15TOC-7210.csv,LAWTON ST,26TH AVE,Intersection
./out/15TOC-7210.csv,MORAGA ST,25TH AVE,Intersection
./out/15TOC-7210.csv,MORAGA ST,26TH AVE,Intersection
./out/15TOC-7210.csv,NORIEGA ST,25TH AVE,Intersection
./out/15TOC-7210.csv,NORIEGA ST,26TH AVE,Intersection
./out/15TOC-7210.csv,ORTEGA ST,25TH AVE,Intersection
./out/15TOC-7210.csv,ORTEGA ST,26TH AVE,Intersection
./out/15TOC-7210.csv,QUINTARA ST,25TH AVE,Intersection
./out/15TOC-7210.csv,QUINTARA ST,26TH AVE,Intersection
./out/15TOC-7210.csv,RIVERA ST,26TH AVE,Intersection
./out/15TOC-7210.csv,RIVERA ST,25TH AVE,Intersection
./out/15TOC-7210.csv,SANTIAGO ST,25TH AVE,Intersection
./out/15TOC-7210.csv,SANTIAGO ST,26TH AVE,Intersection
./out/15TOC-7211.csv,27TH AVE,LINCOLN WAY,IRVING ST
./out/15TOC-7211.csv,27TH AVE,IRVING ST,JUDAH ST
./out/15TOC-7211.csv,27TH AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-7211.csv,27TH AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-7211.csv,27TH AVE,LAWTON ST,MORAGA ST
./out/15TOC-7211.csv,27TH AVE,MORAGA ST,NORIEGA ST
./out/15TOC-7211.csv,27TH AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-7211.csv,27TH AVE,QUINTARA ST,RIVERA ST
./out/15TOC-7211.csv,27TH AVE,RIVERA ST,SANTIAGO ST
./out/15TOC-7211.csv,27TH AVE,SANTIAGO ST,TARAVAL ST
./out/15TOC-7211.csv,28TH AVE,LINCOLN WAY,IRVING ST
./out/15TOC-7211.csv,28TH AVE,IRVING ST,JUDAH ST
./out/15TOC-7211.csv,28TH AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-7211.csv,28TH AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-7211.csv,28TH AVE,LAWTON ST,MORAGA ST
./out/15TOC-7211.csv,28TH AVE,MORAGA ST,NORIEGA ST
./out/15TOC-7211.csv,28TH AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-7211.csv,28TH AVE,ORTEGA ST,PACHECO ST
./out/15TOC-7211.csv,28TH AVE,PACHECO ST,QUINTARA ST
./out/15TOC-7211.csv,28TH AVE,QUINTARA ST,RIVERA ST
./out/15TOC-7211.csv,28TH AVE,RIVERA ST,SANTIAGO ST
./out/15TOC-7211.csv,28TH AVE,SANTIAGO ST,TARAVAL ST
./out/15TOC-7211.csv,IRVING ST,27TH AVE,Intersection
./out/15TOC-7211.csv,IRVING ST,28TH AVE,Intersection
./out/15TOC-7211.csv,JUDAH ST,27TH AVE,Intersection
./out/15TOC-7211.csv,JUDAH ST,28TH AVE,Intersection
./out/15TOC-7211.csv,KIRKHAM ST,27TH AVE,Intersection
./out/15TOC-7211.csv,KIRKHAM ST,28TH AVE,Intersection
./out/15TOC-7211.csv,LAWTON ST,27TH AVE,Intersection
./out/15TOC-7211.csv,LAWTON ST,28TH AVE,Intersection
./out/15TOC-7211.csv,MORAGA ST,27TH AVE,Intersection
./out/15TOC-7211.csv,MORAGA ST,28TH AVE,Intersection
./out/15TOC-7211.csv,NORIEGA ST,27TH AVE,Intersection
./out/15TOC-7211.csv,NORIEGA ST,28TH AVE,Intersection
./out/15TOC-7211.csv,ORTEGA ST,27TH AVE,Intersection
./out/15TOC-7211.csv,ORTEGA ST,28TH AVE,Intersection
./out/15TOC-7211.csv,PACHECO ST,28TH AVE,Intersection
./out/15TOC-7211.csv,QUINTARA ST,27TH AVE,Intersection
./out/15TOC-7211.csv,QUINTARA ST,28TH AVE,Intersection
./out/15TOC-7211.csv,RIVERA ST,27TH AVE,Intersection
./out/15TOC-7211.csv,RIVERA ST,28TH AVE,Intersection
./out/15TOC-7211.csv,SANTIAGO ST,27TH AVE,Intersection
./out/15TOC-7211.csv,SANTIAGO ST,28TH AVE,Intersection
./out/15TOC-7762.csv,29TH AVE,IRVING ST,JUDAH ST
./out/15TOC-7762.csv,29TH AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-7762.csv,29TH AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-7762.csv,29TH AVE,LAWTON ST,MORAGA ST
./out/15TOC-7762.csv,29TH AVE,MORAGA ST,NORIEGA ST
./out/15TOC-7762.csv,29TH AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-7762.csv,29TH AVE,ORTEGA ST,PACHECO ST
./out/15TOC-7762.csv,29TH AVE,PACHECO ST,QUINTARA ST
./out/15TOC-7762.csv,29TH AVE,QUINTARA ST,RIVERA ST
./out/15TOC-7762.csv,29TH AVE,RIVERA ST,SANTIAGO ST
./out/15TOC-7762.csv,29TH AVE,SANTIAGO ST,TARAVAL ST
./out/15TOC-7762.csv,30TH AVE,IRVING ST,JUDAH ST
./out/15TOC-7762.csv,30TH AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-7762.csv,30TH AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-7762.csv,30TH AVE,LAWTON ST,MORAGA ST
./out/15TOC-7762.csv,30TH AVE,MORAGA ST,NORIEGA ST
./out/15TOC-7762.csv,30TH AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-7762.csv,30TH AVE,ORTEGA ST,PACHECO ST
./out/15TOC-7762.csv,30TH AVE,PACHECO ST,QUINTARA ST
./out/15TOC-7762.csv,30TH AVE,QUINTARA ST,RIVERA ST
./out/15TOC-7762.csv,30TH AVE,RIVERA ST,SANTIAGO ST
./out/15TOC-7762.csv,30TH AVE,SANTIAGO ST,TARAVAL ST
./out/15TOC-7762.csv,IRVING ST,29TH AVE,Intersection
./out/15TOC-7762.csv,IRVING ST,30TH AVE,Intersection
./out/15TOC-7762.csv,JUDAH ST,29TH AVE,Intersection
./out/15TOC-7762.csv,JUDAH ST,30TH AVE,Intersection
./out/15TOC-7762.csv,KIRKHAM ST,29TH AVE,Intersection
./out/15TOC-7762.csv,KIRKHAM ST,30TH AVE,Intersection
./out/15TOC-7762.csv,LAWTON ST,29TH AVE,Intersection
./out/15TOC-7762.csv,LAWTON ST,30TH AVE,Intersection
./out/15TOC-7762.csv,MORAGA ST,29TH AVE,Intersection
./out/15TOC-7762.csv,MORAGA ST,30TH AVE,Intersection
./out/15TOC-7762.csv,NORIEGA ST,29TH AVE,Intersection
./out/15TOC-7762.csv,NORIEGA ST,30TH AVE,Intersection
./out/15TOC-7762.csv,ORTEGA ST,29TH AVE,Intersection
./out/15TOC-7762.csv,ORTEGA ST,30TH AVE,Intersection
./out/15TOC-7762.csv,PACHECO ST,29TH AVE,Intersection
./out/15TOC-7762.csv,PACHECO ST,30TH AVE,Intersection
./out/15TOC-7762.csv,QUINTARA ST,29TH AVE,Intersection
./out/15TOC-7762.csv,QUINTARA ST,30TH AVE,Intersection
./out/15TOC-7762.csv,RIVERA ST,29TH AVE,Intersection
./out/15TOC-7762.csv,RIVERA ST,30TH AVE,Intersection
./out/15TOC-7762.csv,SANTIAGO ST,30TH AVE,Intersection
./out/15TOC-7762.csv,SANTIAGO ST,29TH AVE,Intersection
./out/15TOC-8128.csv,31ST AVE,IRVING ST,JUDAH ST
./out/15TOC-8128.csv,31ST AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-8128.csv,31ST AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-8128.csv,31ST AVE,LAWTON ST,MORAGA ST
./out/15TOC-8128.csv,31ST AVE,MORAGA ST,NORIEGA ST
./out/15TOC-8128.csv,31ST AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-8128.csv,31ST AVE,ORTEGA ST,PACHECO ST
./out/15TOC-8128.csv,31ST AVE,PACHECO ST,QUINTARA ST
./out/15TOC-8128.csv,31ST AVE,QUINTARA ST,RIVERA ST
./out/15TOC-8128.csv,31ST AVE,RIVERA ST,SANTIAGO ST
./out/15TOC-8128.csv,31ST AVE,SANTIAGO ST,TARAVAL ST
./out/15TOC-8128.csv,32ND AVE,IRVING ST,JUDAH ST
./out/15TOC-8128.csv,32ND AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-8128.csv,32ND AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-8128.csv,32ND AVE,LAWTON ST,MORAGA ST
./out/15TOC-8128.csv,32ND AVE,MORAGA ST,NORIEGA ST
./out/15TOC-8128.csv,32ND AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-8128.csv,32ND AVE,ORTEGA ST,PACHECO ST
./out/15TOC-8128.csv,32ND AVE,PACHECO ST,QUINTARA ST
./out/15TOC-8128.csv,32ND AVE,QUINTARA ST,RIVERA ST
./out/15TOC-8128.csv,32ND AVE,RIVERA ST,SANTIAGO ST
./out/15TOC-8128.csv,32ND AVE,SANTIAGO ST,TARAVAL ST
./out/15TOC-8128.csv,IRVING ST,31ST AVE,Intersection
./out/15TOC-8128.csv,IRVING ST,32ND AVE,Intersection
./out/15TOC-8128.csv,JUDAH ST,31ST AVE,Intersection
./out/15TOC-8128.csv,JUDAH ST,32ND AVE,Intersection
./out/15TOC-8128.csv,KIRKHAM ST,31ST AVE,Intersection
./out/15TOC-8128.csv,KIRKHAM ST,32ND AVE,Intersection
./out/15TOC-8128.csv,LAWTON ST,31ST AVE,Intersection
./out/15TOC-8128.csv,LAWTON ST,32ND AVE,Intersection
./out/15TOC-8128.csv,MORAGA ST,31ST AVE,Intersection
./out/15TOC-8128.csv,MORAGA ST,32ND AVE,Intersection
./out/15TOC-8128.csv,NORIEGA ST,31ST AVE,Intersection
./out/15TOC-8128.csv,NORIEGA ST,32ND AVE,Intersection
./out/15TOC-8128.csv,ORTEGA ST,31ST AVE,Intersection
./out/15TOC-8128.csv,ORTEGA ST,32ND AVE,Intersection
./out/15TOC-8128.csv,PACHECO ST,31ST AVE,Intersection
./out/15TOC-8128.csv,PACHECO ST,32ND AVE,Intersection
./out/15TOC-8128.csv,QUINTARA ST,31ST AVE,Intersection
./out/15TOC-8128.csv,QUINTARA ST,32ND AVE,Intersection
./out/15TOC-8128.csv,RIVERA ST,31ST AVE,Intersection
./out/15TOC-8128.csv,RIVERA ST,32ND AVE,Intersection
./out/15TOC-8128.csv,SANTIAGO ST,31ST AVE,Intersection
./out/15TOC-8128.csv,SANTIAGO ST,32ND AVE,Intersection
./out/15TOC-8722.csv,KIRKHAM ST,45TH AVE,Intersection
./out/15TOC-8722.csv,KIRKHAM ST,46TH AVE,Intersection
./out/15TOC-8722.csv,KIRKHAM ST,47TH AVE,Intersection
./out/15TOC-8722.csv,KIRKHAM ST,48TH AVE,Intersection
./out/15TOC-8722.csv,KIRKHAM ST,45TH AVE,46TH AVE
./out/15TOC-8722.csv,KIRKHAM ST,46TH AVE,47TH AVE
./out/15TOC-8722.csv,KIRKHAM ST,47TH AVE,48TH AVE
./out/15TOC-8722.csv,KIRKHAM ST,48TH AVE,GREAT HWY \LA PLAYA
./out/15TOC-8722.csv,LA PLAYA,GREAT HWY \KIRKHAM ST,Intersection
./out/15TOC-8722.csv,LAWTON ST,42ND AVE,Intersection
./out/15TOC-8722.csv,LAWTON ST,43RD AVE,Intersection
./out/15TOC-8722.csv,LAWTON ST,44TH AVE,Intersection
./out/15TOC-8722.csv,LAWTON ST,45TH AVE,Intersection
./out/15TOC-8722.csv,LAWTON ST,42ND AVE,43RD AVE
./out/15TOC-8722.csv,LAWTON ST,43RD AVE,44TH AVE
./out/15TOC-8722.csv,LAWTON ST,44TH AVE,45TH AVE
./out/15TOC-8722.csv,MORAGA ST,36TH AVE,Intersection
./out/15TOC-8722.csv,MORAGA ST,37TH AVE,Intersection
./out/15TOC-8722.csv,MORAGA ST,38TH AVE,Intersection
./out/15TOC-8722.csv,MORAGA ST,39TH AVE,Intersection
./out/15TOC-8722.csv,MORAGA ST,40TH AVE,Intersection
./out/15TOC-8722.csv,MORAGA ST,41ST AVE,Intersection
./out/15TOC-8722.csv,MORAGA ST,42ND AVE,Intersection
./out/15TOC-8722.csv,MORAGA ST,36TH AVE,SUNSET BLVD
